iteration_number,iteration_time,total_time,min_time,max_time,avg_time,spread,spread_percent,input_vertices
0,1130.991,11297.849,1123.449,1132.05,1129.785,8.601,0.76,14625
1,1127.509,11297.849,1123.449,1132.05,1129.785,8.601,0.76,14625
2,1130.161,11297.849,1123.449,1132.05,1129.785,8.601,0.76,14625
3,1123.449,11297.849,1123.449,1132.05,1129.785,8.601,0.76,14625
4,1132.05,11297.849,1123.449,1132.05,1129.785,8.601,0.76,14625
5,1131.77,11297.849,1123.449,1132.05,1129.785,8.601,0.76,14625
6,1131.05,11297.849,1123.449,1132.05,1129.785,8.601,0.76,14625
7,1130.768,11297.849,1123.449,1132.05,1129.785,8.601,0.76,14625
8,1129.829,11297.849,1123.449,1132.05,1129.785,8.601,0.76,14625
9,1130.272,11297.849,1123.449,1132.05,1129.785,8.601,0.76,14625
