get_obstacle_time,knn_search_time,build_graph_time,merge_road_graph_time,add_poi_attributes_time,iteration_number,iteration_time,obstacles_input,obstacles_after_unwrapping,obstacle_vertices_input,obstacle_vertices_after_unwrapping,road_vertices_input,road_vertices_after_merging,road_edges_input,road_edges_after_merging,other_vertices_input,visibility_edges_before_merging,visibility_edges_after_merging
25.153,59594.361,578.25,4.021,2.849,0,60254.109,6156,6156,17496,17496,0,0,0,0,15984,110928,110928
25.993,59803.477,564.132,10.751,4.113,1,60447.582,6156,6156,17496,17496,0,0,0,0,15984,110928,110928
27.091,59772.031,566.54,9.408,4.878,2,60439.26,6156,6156,17496,17496,0,0,0,0,15984,110928,110928
24.992,59985.351,570.701,10.013,4.66,3,60641.399,6156,6156,17496,17496,0,0,0,0,15984,110928,110928
24.936,59969.419,575.346,5.157,8.822,4,60625.649,6156,6156,17496,17496,0,0,0,0,15984,110928,110928
