get_obstacle_time,knn_search_time,build_graph_time,merge_road_graph_time,add_poi_attributes_time,iteration_number,iteration_time,obstacles_input,obstacles_after_unwrapping,obstacle_vertices_input,obstacle_vertices_after_unwrapping,road_vertices_input,road_vertices_after_merging,road_edges_input,road_edges_after_merging,other_vertices_input,visibility_edges_before_merging,visibility_edges_after_merging
90.076,62817.705,368.99,52576.636,14.782,0,116017.263,1683,12854,17894,51407,2646,47793,1351,95927,21254,56222,192149
91.41,62362.586,370.441,52420.488,14.637,1,115403.277,1683,12854,17894,51407,2646,47793,1351,95927,21254,56222,192149
89.552,63290.666,371.947,53354.166,14.75,2,117272.692,1683,12854,17894,51407,2646,47793,1351,95927,21254,56222,192149
100.899,62944.392,367.643,53376.045,14.885,3,116947.098,1683,12854,17894,51407,2646,47793,1351,95927,21254,56222,192149
88.202,63445.436,361.891,53527.29,14.46,4,117576.887,1683,12854,17894,51407,2646,47793,1351,95927,21254,56222,192149
