get_obstacle_time,knn_search_time,build_graph_time,merge_road_graph_time,add_poi_attributes_time,iteration_number,iteration_time,obstacles_input,obstacles_after_unwrapping,obstacle_vertices_input,obstacle_vertices_after_unwrapping,road_vertices_input,road_vertices_after_merging,road_edges_input,road_edges_after_merging,other_vertices_input,visibility_edges_before_merging,visibility_edges_after_merging
260.291,563964.896,575.781,358881.693,19.942,0,924142.558,6462,24623,67265,98951,5551,153461,2798,307389,40659,148732,707649
249.31,562556.604,590.555,359208.708,19.493,1,923043.648,6462,24623,67265,98951,5551,153461,2798,307389,40659,148732,707649
251.963,550554.211,558.886,352966.292,19.878,2,904768.244,6462,24623,67265,98951,5551,153461,2798,307389,40659,148732,707649
249.613,564166.734,576.797,366499.485,19.892,3,931922.303,6462,24623,67265,98951,5551,153461,2798,307389,40659,148732,707649
252.471,554215.557,560.835,351499.551,19.894,4,906957.083,6462,24623,67265,98951,5551,153461,2798,307389,40659,148732,707649
